step,lat,lon,alt,reward
140,26.87390399943928,78.66172358999286,40000.0,-0.23684473187837285
141,26.86200436653626,78.67250692041917,40000.0,-0.23682963328406914
142,26.850105154404787,78.68328915561013,40000.0,-0.23681447324430338
143,26.83820636267232,78.69407030003609,40000.0,-0.23679936158965575
144,26.826307990407543,78.70485035071681,40000.0,-0.23678422945318744
145,26.814410037796716,78.71562931063254,40000.0,-0.23676912525639637
146,26.802512507075015,78.72640717382279,40000.0,-0.23675393913232257
147,26.79061539488968,78.73718394624805,40000.0,-0.23673884610412643
148,26.778718703848416,78.74795962492809,40000.0,-0.23672369719657582
149,26.766822431157248,78.75873421284312,40000.0,-0.23670860606012867
150,26.754926578865092,78.76950770701292,40000.0,-0.2366934646104346
151,26.74303114585436,78.78028010743749,40000.0,-0.23667833436571528
152,26.73113613119373,78.79105141858717,40000.0,-0.23666325810860145
153,26.71924153581452,78.80182163599163,40000.0,-0.23664812782750233
154,26.707347358971674,78.81259076263109,40000.0,-0.23663303483568598
155,26.69545360252784,78.82335879552531,40000.0,-0.23661789338599193
156,26.683560263875314,78.83412573914465,40000.0,-0.23660282269498567
157,26.671667344876738,78.84489158603853,40000.0,-0.23658765894448153
158,26.65977484478706,78.85565634365751,40000.0,-0.23657257708488033
159,26.647882761929893,78.86642001349173,40000.0,-0.23655752691207454
160,26.635991098167885,78.87718258958073,40000.0,-0.2365423985227244
161,26.624099852010918,78.88794407639483,40000.0,-0.23652732968708734
162,26.612209023458995,78.89870447095383,40000.0,-0.23651223112916342
163,26.600318613257173,78.90946377772806,40000.0,-0.2364971697513829
164,26.58842862140545,78.92022199373729,40000.0,-0.23648207861493575
165,26.57653904604118,78.93097911898151,40000.0,-0.2364670060685603
166,26.564649890330866,78.94173515048051,40000.0,-0.2364518721131026
167,26.552761152784388,78.95249008972439,40000.0,-0.23643676787993173
168,26.540872829862717,78.9632439411835,40000.0,-0.23642174382781378
169,26.52898492491862,78.97399670485785,40000.0,-0.23640668616077165
170,26.51709743776583,78.98474837627708,40000.0,-0.23639158574747854
171,26.5052103665417,78.99549895991154,40000.0,-0.2363765485622571
172,26.493323713853936,79.00624845278101,40000.0,-0.23636145557044075
173,26.481437477839894,79.01699685488548,40000.0,-0.2363463812050759
174,26.4695516588721,79.02774416771506,40000.0,-0.2363313179719262
175,26.457666255274173,79.03849039275987,40000.0,-0.2363162864255719
176,26.445781269095026,79.04923552554956,40000.0,-0.23630118968663738
177,26.43389669809948,79.05997957353473,40000.0,-0.2362861897906987
178,26.422012543777655,79.07072253224501,40000.0,-0.23627113034104696
179,26.410128805198227,79.0814644016804,40000.0,-0.2362560801318614
180,26.398245482733724,79.09220518333103,40000.0,-0.23624104116403033
181,26.386362576756678,79.10294487421666,40000.0,-0.23622596861765488
182,26.374480086708292,79.11368347731752,40000.0,-0.236210931505193
183,26.362598012029775,79.12442098965339,40000.0,-0.2361958701274125
184,26.3507163523486,79.13515741569461,40000.0,-0.23618085724388949
185,26.33883510766476,79.14589275544117,40000.0,-0.2361658442876069
